Department,Semester,Gender,Age,Course,GPA,Credits Earned,Attendance (%),Study Hours per Day,Previous Marks (%),Assignment Score,Subject Average (%),Subject Attendance Average (%),Predicted Result
Business Analytics,5,Non-binary,25,B.Tech,8.8,28,83,6.1,54,10.0,77.7,77.4,On Track
Electronics,7,Male,24,BCA,9.1,47,73,3.1,69,5.0,81.2,60.7,On Track
Information Technology,6,Female,23,BCA,9.3,42,78,2.3,70,9.4,81.9,71.3,On Track
Civil,8,Male,21,BCA,7.7,49,66,1.9,67,8.7,70.1,57.3,On Track
Mechanical,5,Non-binary,23,MBA,7.5,44,86,3.8,62,8.9,84.2,75.6,On Track
Information Technology,7,Male,20,MCA,8.2,39,77,5.5,52,8.3,72.2,66.4,On Track
Information Technology,4,Non-binary,20,MCA,8.9,27,64,5.8,71,8.6,84.3,59.2,On Track
Information Technology,6,Non-binary,24,MCA,7.4,48,62,4.1,52,8.0,74.3,51.2,On Track
Civil,8,Non-binary,21,B.Sc,8.7,41,70,1.4,71,5.4,72.8,68.4,On Track
Business Analytics,2,Non-binary,21,MBA,8.6,25,75,4.1,53,4.3,80.4,71.7,On Track
Business Analytics,2,Male,25,MBA,4.9,25,54,4.5,93,5.5,87.9,52.0,On Track
Information Technology,8,Male,17,MBA,5.4,50,49,2.7,59,6.8,60.1,45.0,At Risk
Computer Science,7,Male,20,B.Tech,5.4,51,86,0.9,49,5.3,58.6,77.6,On Track
Information Technology,7,Male,22,MCA,9.5,37,89,3.9,96,4.7,98.0,84.7,On Track
Information Technology,8,Male,21,B.Tech,6.3,41,84,6.1,74,7.6,90.3,77.0,On Track
Business Analytics,6,Non-binary,22,BCA,5.2,39,60,4.4,44,6.4,62.7,57.8,On Track
Civil,2,Male,24,B.Tech,7.9,30,96,2.1,65,5.5,75.8,91.7,On Track
Civil,6,Male,25,MCA,5.3,36,64,2.8,94,5.0,78.0,59.1,At Risk
Mechanical,5,Non-binary,19,BCA,7.3,40,74,1.3,85,4.9,76.9,62.7,On Track
Information Technology,2,Male,20,B.Sc,7.3,17,77,1.1,69,8.6,72.7,68.0,On Track
Mechanical,5,Female,19,B.Sc,8.5,33,58,2.8,46,5.3,67.2,51.7,On Track
Information Technology,2,Female,19,MCA,8.0,21,48,2.6,79,4.5,83.6,45.5,On Track
Civil,3,Female,19,B.Tech,7.3,27,84,5.8,84,4.3,95.0,77.4,On Track
Electronics,5,Female,24,BCA,7.0,39,69,3.1,70,3.5,71.3,66.9,At Risk
Mechanical,1,Male,20,MCA,7.4,18,76,1.3,43,7.6,68.3,63.9,On Track
Civil,1,Male,20,B.Tech,7.2,26,96,4.7,90,8.5,98.0,90.4,On Track
Mechanical,5,Female,19,MBA,5.8,39,50,2.8,83,8.4,82.3,45.0,At Risk
Mechanical,2,Non-binary,23,MBA,7.2,17,91,2.6,59,3.8,74.3,76.4,On Track
Mechanical,7,Male,18,MCA,6.0,44,55,2.3,76,9.8,77.3,45.0,On Track
Computer Science,3,Non-binary,20,BCA,9.1,36,66,6.3,73,7.8,93.7,58.9,On Track
Business Analytics,4,Non-binary,19,MCA,6.9,30,57,5.7,83,6.9,89.4,51.8,On Track
Mechanical,7,Male,23,MBA,6.5,52,77,2.1,41,4.9,64.2,69.2,At Risk
Business Analytics,7,Female,22,B.Sc,8.1,42,62,5.5,65,8.4,77.1,60.7,On Track
Electronics,6,Female,18,B.Tech,7.2,34,82,2.2,62,7.7,73.7,79.3,On Track
Computer Science,1,Non-binary,25,B.Tech,5.2,27,61,2.8,45,7.6,64.1,50.7,At Risk
Information Technology,2,Non-binary,23,B.Tech,5.6,25,72,5.3,59,4.1,74.5,60.6,At Risk
Mechanical,6,Female,23,BCA,6.7,38,96,2.8,78,7.4,85.2,90.5,On Track
Civil,5,Male,17,MCA,7.6,35,53,2.6,53,5.0,70.1,48.1,On Track
Electronics,6,Male,25,MBA,9.5,47,94,0.9,59,7.5,80.5,82.0,On Track
Information Technology,5,Non-binary,19,MCA,7.1,43,79,4.3,67,8.2,74.3,69.2,On Track
Civil,2,Male,25,B.Sc,6.7,19,58,6.4,73,8.0,83.8,51.6,On Track
Civil,3,Female,23,B.Sc,7.8,25,67,0.9,43,9.8,55.3,56.4,On Track
Computer Science,8,Male,23,BCA,6.4,49,65,5.0,77,4.2,84.6,53.2,On Track
Computer Science,7,Non-binary,19,B.Sc,5.2,38,66,3.8,47,7.4,58.9,59.2,At Risk
Computer Science,8,Non-binary,24,B.Sc,8.8,45,65,3.4,61,4.0,72.8,59.9,On Track
Mechanical,8,Male,21,MBA,6.4,50,50,2.2,78,6.3,67.9,47.8,On Track
Business Analytics,6,Female,24,B.Sc,5.2,37,71,2.1,76,7.1,74.1,62.6,At Risk
Business Analytics,8,Female,17,MCA,6.4,46,56,6.0,68,8.6,82.5,54.8,On Track
Information Technology,7,Female,25,B.Sc,5.7,52,64,0.7,66,6.2,65.9,62.1,At Risk
Business Analytics,1,Male,20,MBA,5.3,13,85,4.6,71,6.7,81.9,73.0,On Track
Information Technology,8,Non-binary,19,B.Sc,9.5,51,90,4.2,88,5.9,98.0,86.5,On Track
Business Analytics,6,Male,17,B.Tech,9.1,46,83,1.0,48,7.6,61.3,71.8,On Track
Computer Science,8,Female,25,MBA,6.4,41,61,2.8,44,4.7,62.6,58.0,At Risk
Computer Science,5,Non-binary,24,BCA,7.2,40,63,5.2,79,4.1,87.3,61.2,On Track
Electronics,2,Female,23,B.Sc,5.8,23,48,5.4,38,4.3,65.5,45.0,At Risk
Information Technology,5,Male,21,B.Tech,8.0,34,77,5.4,44,8.9,76.6,66.4,On Track
Electronics,4,Non-binary,20,BCA,6.6,27,65,5.7,90,5.4,96.8,64.3,On Track
Electronics,2,Female,25,BCA,5.0,30,63,2.2,44,6.5,59.2,53.2,At Risk
Electronics,5,Male,19,BCA,7.1,40,73,4.8,64,9.1,83.7,70.6,On Track
Mechanical,7,Female,23,B.Tech,7.7,43,88,4.0,61,3.9,73.3,74.7,On Track
Mechanical,3,Female,23,BCA,5.9,21,60,1.3,78,10.0,71.3,50.8,On Track
Business Analytics,8,Non-binary,25,MCA,8.1,55,81,5.9,79,9.4,92.7,71.9,On Track
Information Technology,7,Non-binary,25,B.Sc,5.8,46,65,3.1,77,7.1,82.8,54.7,On Track
Civil,1,Non-binary,18,B.Tech,5.7,14,55,1.5,78,4.4,69.3,50.1,At Risk
Computer Science,2,Female,18,MBA,9.1,16,82,6.3,82,3.6,95.4,69.1,On Track
Electronics,4,Non-binary,19,MCA,8.5,31,85,4.3,81,7.0,90.7,73.2,On Track
Civil,7,Non-binary,22,MCA,4.8,37,70,4.2,44,9.5,65.1,57.8,At Risk
Information Technology,8,Female,21,B.Tech,6.8,54,97,2.5,89,4.1,88.3,87.0,On Track
Computer Science,5,Non-binary,17,MCA,9.2,35,79,5.0,50,5.4,86.5,73.6,On Track
Computer Science,6,Male,22,B.Sc,5.0,34,82,3.2,47,8.9,59.9,78.2,On Track
Business Analytics,2,Male,19,B.Tech,7.2,21,73,5.1,41,4.9,69.1,71.6,At Risk
Computer Science,8,Male,17,MBA,5.6,47,74,6.5,85,5.8,98.0,62.7,On Track
Mechanical,3,Female,18,MCA,7.0,36,85,1.8,95,9.2,90.2,76.2,On Track
Business Analytics,4,Non-binary,22,MCA,7.6,39,77,3.4,52,5.2,65.0,64.5,At Risk
Mechanical,4,Male,24,B.Sc,7.0,28,80,5.6,77,7.0,86.7,70.5,On Track
Civil,7,Female,20,MCA,7.8,37,60,4.6,42,3.8,61.2,49.7,On Track
Electronics,5,Non-binary,22,MBA,9.6,29,69,1.8,42,4.0,70.1,63.3,On Track
Business Analytics,4,Female,22,MBA,5.2,38,98,1.7,47,4.8,66.0,88.6,At Risk
Information Technology,5,Male,22,MBA,9.1,33,59,3.9,72,7.8,92.4,58.5,On Track
Mechanical,1,Female,25,BCA,6.1,22,52,3.2,39,4.5,62.3,45.0,At Risk
Mechanical,8,Female,20,BCA,6.2,55,82,1.7,83,4.8,78.8,75.8,On Track
Business Analytics,4,Female,22,MBA,5.4,25,60,6.5,47,6.1,71.1,52.8,On Track
Computer Science,4,Female,21,B.Tech,8.0,30,79,3.4,77,9.0,79.7,70.6,On Track
Computer Science,2,Male,21,B.Tech,8.0,24,56,5.7,67,6.4,78.3,47.5,On Track
Mechanical,6,Non-binary,20,BCA,9.3,45,51,1.8,58,5.5,66.7,45.0,On Track
Information Technology,1,Female,23,MBA,8.9,27,81,6.2,50,7.9,84.8,70.9,On Track
Electronics,4,Non-binary,24,BCA,6.2,35,59,6.0,48,5.8,71.9,59.0,On Track
Electronics,5,Male,25,B.Sc,8.5,29,66,1.5,40,4.5,60.9,62.0,At Risk
Information Technology,5,Male,22,MCA,6.2,33,91,0.8,56,7.9,60.6,78.4,On Track
Mechanical,5,Female,21,BCA,6.6,32,65,2.7,74,7.9,79.6,56.7,On Track
Electronics,2,Non-binary,25,MBA,7.3,18,54,4.3,54,4.3,65.2,45.0,At Risk
Computer Science,5,Non-binary,18,MCA,6.0,31,96,1.9,89,5.2,90.3,83.4,At Risk
Computer Science,6,Non-binary,20,MBA,5.0,47,76,3.3,69,9.8,72.4,63.1,On Track
Mechanical,1,Non-binary,20,MCA,5.5,28,63,0.7,93,8.9,80.8,58.5,On Track
Business Analytics,7,Male,23,MBA,9.2,51,74,4.1,89,5.8,98.0,61.1,On Track
Mechanical,3,Female,19,BCA,7.1,34,81,1.7,50,4.4,67.4,74.7,On Track
Computer Science,8,Non-binary,23,BCA,6.0,41,93,1.8,39,6.2,59.6,83.8,At Risk
Business Analytics,1,Male,25,MBA,6.3,13,68,2.1,90,8.9,85.8,62.8,On Track
Mechanical,3,Female,21,B.Sc,7.6,32,59,2.0,43,8.0,56.0,51.6,On Track
Business Analytics,5,Male,20,BCA,6.9,35,74,4.5,64,8.7,71.5,61.8,On Track
Computer Science,2,Non-binary,22,B.Sc,5.7,32,73,2.3,57,5.1,62.4,65.9,At Risk
Electronics,3,Male,20,BCA,7.1,24,94,1.9,52,7.7,69.3,85.8,On Track
Computer Science,3,Non-binary,25,MCA,6.1,25,61,0.6,56,5.4,55.2,54.7,At Risk
Computer Science,7,Male,25,B.Sc,4.9,37,86,2.2,93,6.6,91.3,78.8,On Track
Civil,4,Non-binary,24,MBA,8.5,36,96,1.1,87,8.8,83.8,88.5,On Track
Electronics,2,Male,20,B.Sc,6.5,25,91,2.2,73,4.7,83.7,84.4,At Risk
Mechanical,4,Non-binary,21,MBA,9.2,28,90,5.7,87,8.4,98.0,81.0,On Track
Electronics,6,Female,20,BCA,6.0,32,63,6.5,54,3.6,66.6,55.8,At Risk
Electronics,2,Male,23,BCA,6.3,30,51,1.2,86,8.4,75.9,50.7,On Track
Business Analytics,3,Male,22,B.Tech,6.6,30,55,0.6,73,7.8,72.9,49.7,On Track
Computer Science,5,Male,20,B.Tech,6.4,32,98,3.6,41,5.2,71.8,90.3,On Track
Electronics,4,Female,21,B.Tech,5.2,38,96,3.0,91,3.7,95.5,81.2,At Risk
Computer Science,6,Male,24,B.Sc,6.7,35,49,3.2,90,4.6,86.6,45.5,On Track
Computer Science,8,Female,20,BCA,6.0,44,80,3.1,75,8.4,74.1,72.1,On Track
Electronics,1,Female,17,MCA,6.7,15,94,4.9,93,5.1,91.8,86.6,On Track
Civil,1,Non-binary,17,MBA,9.3,21,95,5.3,71,9.0,95.3,90.2,On Track
Mechanical,8,Non-binary,17,BCA,4.9,45,70,6.3,74,6.6,81.9,60.1,On Track
Civil,3,Female,17,MBA,5.3,29,92,1.1,66,9.2,70.2,84.2,On Track
Civil,6,Female,17,B.Sc,7.2,35,95,4.5,65,4.4,81.5,90.2,On Track
Electronics,2,Male,24,B.Tech,8.3,28,48,4.5,93,7.2,92.2,45.0,On Track
Information Technology,1,Non-binary,18,B.Sc,6.2,28,83,1.9,78,4.7,72.5,70.7,On Track
Civil,8,Female,23,B.Sc,9.3,40,90,1.5,91,6.7,98.0,83.3,On Track
Electronics,2,Female,25,BCA,6.0,22,88,4.0,65,6.2,75.3,78.1,On Track
Computer Science,5,Male,19,B.Sc,8.3,28,53,5.0,83,9.2,87.4,46.4,On Track
Mechanical,6,Non-binary,18,B.Sc,5.2,48,95,1.5,85,8.1,88.2,85.0,On Track
Business Analytics,5,Male,25,B.Sc,7.2,37,93,4.5,63,6.8,82.7,81.1,On Track
Computer Science,5,Non-binary,17,BCA,8.8,43,90,6.1,84,8.7,98.0,78.3,On Track
Information Technology,1,Non-binary,23,MBA,9.2,16,82,1.0,46,5.5,68.6,79.7,On Track
Mechanical,1,Female,17,B.Sc,5.8,27,93,2.9,90,7.2,86.4,79.3,On Track
Electronics,3,Male,17,MCA,6.4,34,68,5.4,74,4.1,76.5,56.2,On Track
Civil,8,Non-binary,19,MBA,9.3,52,62,5.9,48,5.9,75.5,54.2,On Track
Mechanical,2,Non-binary,17,MBA,6.3,25,90,2.3,75,7.3,81.6,81.4,On Track
Mechanical,8,Female,25,MCA,8.8,48,89,0.9,58,3.6,72.1,74.9,At Risk
Business Analytics,3,Non-binary,23,BCA,4.9,33,58,6.4,58,8.3,68.7,53.6,On Track
Mechanical,3,Non-binary,23,MCA,8.2,33,64,1.1,65,4.0,71.2,53.9,At Risk
Business Analytics,4,Male,18,MCA,7.9,25,79,4.9,40,8.5,64.3,74.5,On Track
Computer Science,1,Non-binary,25,MBA,7.7,20,75,3.4,76,6.1,89.6,69.0,On Track
Civil,7,Female,21,BCA,8.8,43,54,5.1,53,4.5,69.7,45.0,On Track
Electronics,2,Female,18,MCA,8.7,28,51,4.8,41,6.6,73.2,45.0,On Track
Electronics,4,Male,22,BCA,8.6,37,75,3.6,93,9.6,90.7,63.2,On Track
Electronics,7,Male,23,MCA,7.6,45,65,5.3,86,5.6,97.4,60.1,On Track
Mechanical,4,Male,25,BCA,5.7,24,61,4.6,60,8.1,76.6,51.3,On Track
Information Technology,7,Female,19,B.Sc,5.4,52,80,4.0,85,7.1,88.5,68.8,On Track
Mechanical,3,Female,22,B.Tech,9.6,27,95,1.9,86,9.8,98.0,87.3,On Track
Mechanical,6,Non-binary,22,BCA,7.3,40,86,1.2,81,7.9,85.1,81.2,On Track
Computer Science,5,Female,23,MCA,8.7,33,65,0.9,40,5.7,56.8,63.8,At Risk
Business Analytics,5,Male,21,MCA,6.0,32,87,4.6,67,9.3,75.7,79.0,On Track
Computer Science,4,Non-binary,17,MCA,7.6,24,98,0.8,48,5.0,63.7,84.2,On Track
Civil,3,Male,20,BCA,6.7,33,73,0.6,88,6.1,78.3,67.7,On Track
Civil,6,Female,22,BCA,8.0,42,86,2.5,77,6.5,86.5,78.8,On Track
Civil,1,Non-binary,22,B.Tech,8.3,25,90,3.2,67,7.9,83.3,76.4,On Track
Mechanical,5,Non-binary,24,B.Tech,5.6,43,71,1.2,94,4.5,75.6,68.9,At Risk
Information Technology,1,Female,19,B.Sc,5.7,17,59,3.4,46,8.1,60.5,53.2,On Track
Business Analytics,6,Female,25,B.Tech,4.8,40,91,5.8,79,6.0,88.7,76.3,On Track
Mechanical,3,Male,24,MCA,6.8,29,62,3.5,70,5.1,69.8,60.0,On Track
Computer Science,6,Male,25,B.Sc,6.9,34,64,5.6,55,7.4,69.3,60.8,On Track
Mechanical,4,Non-binary,20,B.Tech,8.8,35,51,2.5,74,9.7,79.2,45.0,On Track
Electronics,7,Male,17,MCA,5.3,36,86,0.5,74,10.0,69.8,83.1,On Track
Computer Science,8,Non-binary,22,B.Tech,5.3,50,48,0.5,65,8.1,65.8,45.9,At Risk
Civil,6,Female,18,B.Tech,7.4,40,67,1.1,74,7.5,69.3,65.3,On Track
Civil,6,Male,21,B.Sc,9.1,34,54,1.4,96,5.6,88.8,45.1,On Track
Mechanical,6,Female,23,B.Tech,9.4,37,93,1.2,49,6.4,68.5,81.1,On Track
Electronics,8,Male,19,BCA,7.3,48,69,6.4,60,10.0,83.0,60.4,On Track
Computer Science,8,Female,25,MCA,7.6,49,80,5.4,66,8.4,91.3,69.8,On Track
Information Technology,6,Male,24,MCA,6.4,48,49,5.0,77,7.3,77.5,45.0,On Track
Mechanical,8,Non-binary,20,B.Sc,8.9,40,60,1.6,38,6.3,53.3,53.5,On Track
Civil,5,Non-binary,19,MBA,8.2,35,52,3.3,79,8.5,86.9,47.5,On Track
Information Technology,2,Non-binary,22,BCA,6.8,32,55,4.9,60,8.9,75.5,47.3,On Track
Mechanical,8,Male,22,MBA,9.5,49,83,5.8,61,8.4,86.9,76.3,On Track
Computer Science,4,Female,24,MBA,5.8,30,85,0.7,93,9.7,76.7,71.2,On Track
Electronics,5,Male,24,MBA,9.0,42,70,3.9,54,5.9,75.2,57.9,On Track
Information Technology,6,Female,19,BCA,8.9,47,92,4.3,41,5.4,75.1,81.9,On Track
Computer Science,4,Female,17,B.Tech,9.6,24,96,3.4,84,6.2,98.0,87.6,On Track
Mechanical,4,Non-binary,23,B.Sc,5.6,38,92,3.8,68,9.3,82.7,88.2,On Track
Business Analytics,8,Male,17,MCA,7.8,48,92,0.8,56,5.2,70.3,86.1,On Track
Civil,7,Male,25,BCA,5.1,41,58,1.0,46,4.5,47.8,58.1,At Risk
Information Technology,5,Male,25,BCA,7.2,31,55,0.8,90,3.7,87.6,45.0,At Risk
Computer Science,4,Male,20,MBA,7.3,38,82,2.8,88,6.8,91.3,71.0,On Track
Mechanical,8,Male,22,MBA,9.0,56,80,1.8,68,8.4,81.1,66.2,On Track
Electronics,2,Male,22,B.Sc,7.5,25,59,2.8,61,4.3,68.3,52.3,At Risk
Information Technology,1,Male,25,BCA,9.6,16,57,6.3,89,3.8,98.0,45.8,On Track
Civil,7,Non-binary,21,MBA,9.5,46,79,5.5,82,6.7,98.0,69.5,On Track
Business Analytics,8,Non-binary,22,MBA,8.0,44,82,4.4,45,8.1,65.9,73.6,On Track
Mechanical,4,Male,24,B.Sc,6.8,29,86,5.6,88,6.2,98.0,79.2,On Track
Electronics,7,Non-binary,21,B.Tech,8.2,39,58,5.1,76,4.7,92.1,53.6,On Track
Civil,8,Female,22,B.Tech,6.7,52,54,5.6,87,6.7,97.1,49.7,On Track
Mechanical,2,Female,22,BCA,6.1,21,55,0.6,63,7.6,61.4,45.0,On Track
Mechanical,3,Female,19,MBA,5.7,36,49,2.3,45,5.2,60.7,45.0,At Risk
Civil,2,Female,17,MCA,5.2,19,70,1.8,50,8.0,63.1,60.7,At Risk
Mechanical,5,Female,18,MCA,6.1,39,83,2.5,61,5.0,71.3,69.0,On Track
Civil,7,Non-binary,25,BCA,5.9,36,62,3.1,71,3.9,67.4,60.3,At Risk
Computer Science,3,Non-binary,17,BCA,9.0,29,89,1.8,96,4.7,98.0,79.8,On Track
Mechanical,1,Female,18,B.Sc,8.5,23,74,1.2,65,5.7,83.3,71.0,At Risk
Information Technology,3,Female,23,MBA,6.6,23,52,3.2,54,9.3,57.4,45.0,On Track
Computer Science,2,Male,17,BCA,6.1,25,55,0.6,77,7.6,75.3,49.7,On Track
Civil,3,Male,18,B.Sc,9.4,27,67,2.7,66,7.4,74.3,65.4,On Track
Mechanical,4,Non-binary,24,BCA,6.5,28,78,6.3,89,7.2,96.3,68.6,On Track
Computer Science,3,Non-binary,25,B.Sc,7.1,21,92,2.7,56,7.8,73.0,79.1,On Track
Mechanical,4,Male,24,MCA,8.7,33,59,6.2,58,7.2,79.0,48.9,On Track
Computer Science,7,Female,24,B.Sc,5.1,44,75,2.5,56,8.5,59.3,63.5,On Track
Civil,2,Male,22,BCA,6.2,22,60,5.3,76,7.4,76.3,56.7,On Track
Electronics,5,Non-binary,21,MCA,6.8,44,75,2.1,75,7.9,75.2,67.0,On Track
Electronics,7,Non-binary,17,MBA,4.8,42,66,1.2,67,8.3,61.9,63.7,At Risk
Business Analytics,6,Male,20,B.Sc,9.4,48,95,5.3,48,5.8,75.8,81.6,On Track
Mechanical,7,Female,17,B.Tech,8.5,41,59,6.1,79,4.2,93.8,53.9,On Track
Mechanical,3,Non-binary,24,BCA,4.8,30,72,4.7,59,8.1,64.7,59.3,On Track
Information Technology,5,Female,24,B.Tech,9.4,35,86,5.9,92,9.0,98.0,71.8,On Track
Computer Science,6,Female,20,MCA,5.0,43,76,1.0,38,9.7,50.3,68.7,On Track
Business Analytics,5,Non-binary,24,MBA,6.4,37,67,3.2,75,4.6,80.7,64.0,On Track
Civil,1,Female,17,MCA,5.0,28,84,6.2,56,7.0,73.3,76.3,On Track
Civil,8,Non-binary,18,MCA,8.5,40,53,4.9,51,5.3,75.8,48.3,On Track
Mechanical,1,Male,19,B.Tech,6.1,12,54,4.7,58,9.3,71.2,51.2,On Track
Business Analytics,7,Male,23,B.Sc,5.7,40,81,5.0,68,7.1,81.7,71.6,On Track
Mechanical,3,Non-binary,22,B.Sc,8.3,20,77,1.7,67,7.2,71.4,64.4,On Track
Computer Science,1,Male,25,B.Tech,6.5,17,98,0.9,95,6.9,83.5,88.1,On Track
Mechanical,2,Male,17,B.Tech,9.1,27,76,3.5,45,7.9,65.2,62.7,On Track
Information Technology,7,Male,18,MCA,6.3,41,80,1.6,66,5.5,65.2,71.1,At Risk
Computer Science,1,Female,22,BCA,8.0,27,56,2.4,42,8.1,57.3,45.0,On Track
Civil,3,Male,18,MBA,7.0,24,61,1.0,48,8.7,65.0,49.0,On Track
Electronics,7,Male,23,MCA,9.0,52,50,4.5,92,6.0,92.7,45.0,On Track
Business Analytics,1,Female,22,MBA,5.9,13,97,3.8,48,8.2,76.0,88.2,On Track
Information Technology,1,Female,21,B.Tech,8.1,12,77,0.7,81,7.4,77.7,69.6,On Track
Information Technology,1,Female,21,B.Sc,5.6,21,57,5.9,79,4.0,90.1,56.7,At Risk
Computer Science,6,Female,24,B.Tech,5.7,32,81,5.9,52,9.3,66.3,72.2,On Track
Mechanical,5,Female,25,B.Tech,9.2,34,69,3.7,89,5.7,98.0,63.5,On Track
Information Technology,5,Non-binary,19,B.Sc,8.9,42,71,5.8,85,9.2,95.6,64.1,On Track
Computer Science,4,Male,24,BCA,7.8,28,66,1.1,80,4.0,74.7,60.9,On Track
Computer Science,1,Non-binary,17,BCA,7.9,19,95,6.3,47,6.7,79.8,82.5,On Track
Computer Science,6,Female,18,MBA,7.7,41,98,4.5,85,5.9,98.0,93.8,On Track
Mechanical,4,Male,21,B.Tech,7.7,33,84,5.9,76,5.9,95.5,73.3,On Track
Mechanical,8,Male,22,MCA,8.9,41,82,3.1,74,4.5,80.5,73.2,On Track
Computer Science,5,Female,25,BCA,4.9,30,62,1.1,44,6.9,53.6,58.2,At Risk
Civil,6,Female,24,B.Sc,8.5,32,90,1.4,59,8.6,81.6,84.0,On Track
Civil,2,Male,25,B.Sc,5.3,27,85,2.6,54,3.8,72.0,75.6,At Risk
Business Analytics,8,Female,23,MCA,5.4,49,87,4.5,62,4.6,81.9,82.9,On Track
Mechanical,3,Female,22,B.Sc,7.9,31,87,1.3,55,6.6,62.8,79.8,On Track
Computer Science,5,Female,18,B.Tech,5.1,32,76,2.4,81,9.4,83.7,63.5,On Track
Mechanical,7,Non-binary,20,B.Tech,4.8,47,72,5.5,40,9.0,54.7,59.5,On Track
Civil,1,Male,24,MBA,4.9,20,95,5.3,83,7.2,86.9,90.7,On Track
Civil,3,Female,25,BCA,5.8,30,54,6.0,61,9.3,79.1,45.0,On Track
Electronics,1,Female,23,B.Sc,6.1,22,89,4.9,87,8.1,88.3,75.0,On Track
Mechanical,5,Female,22,B.Sc,7.2,41,63,2.8,65,8.3,71.7,53.8,On Track
Information Technology,8,Non-binary,18,B.Sc,8.6,50,55,3.3,64,8.7,84.6,45.2,On Track
Mechanical,8,Male,24,MBA,5.2,51,91,0.6,55,5.2,62.0,78.5,At Risk
Civil,6,Non-binary,24,MBA,6.0,35,92,2.7,90,6.0,83.4,78.1,On Track
Computer Science,1,Female,24,B.Sc,9.2,21,81,5.7,90,9.3,96.9,77.5,On Track
Information Technology,7,Male,23,B.Tech,8.9,48,79,2.8,89,4.5,98.0,74.9,On Track
Electronics,2,Male,25,BCA,7.4,16,92,5.9,81,5.5,90.5,86.8,On Track
Mechanical,4,Male,24,MBA,5.5,35,61,1.0,70,9.9,67.5,55.9,On Track
Computer Science,2,Female,23,MCA,7.2,18,87,4.2,69,6.3,87.0,79.4,On Track
Computer Science,8,Non-binary,24,BCA,7.7,50,57,5.1,54,9.9,71.9,54.2,On Track
Mechanical,7,Non-binary,25,MBA,7.5,52,69,1.8,59,6.0,63.2,59.4,At Risk
Information Technology,4,Non-binary,24,B.Tech,6.9,32,49,6.3,79,5.9,89.9,49.2,On Track
Civil,7,Female,19,MBA,8.5,40,81,0.5,96,5.7,93.3,67.3,On Track
Electronics,2,Non-binary,21,BCA,5.9,20,73,1.5,94,4.3,90.7,64.8,On Track
Information Technology,5,Non-binary,17,MBA,8.1,43,70,5.9,76,8.1,96.0,68.7,On Track
Mechanical,2,Non-binary,25,BCA,8.1,21,84,4.8,94,5.8,98.0,70.0,On Track
Information Technology,8,Male,25,B.Sc,7.3,54,53,1.1,96,5.1,84.5,48.3,On Track
Electronics,3,Female,24,MBA,5.8,33,70,3.6,59,4.2,65.7,63.6,At Risk
Civil,4,Female,20,MBA,9.3,28,96,1.9,64,8.6,75.8,90.1,On Track
Computer Science,3,Female,19,BCA,5.9,25,86,3.4,89,4.6,91.9,77.0,On Track
Mechanical,7,Female,19,MCA,7.0,46,72,5.9,68,3.6,78.3,67.2,On Track
Information Technology,6,Non-binary,20,MCA,6.7,32,62,4.7,90,7.2,95.9,60.0,On Track
Civil,4,Non-binary,18,B.Sc,6.9,33,95,3.3,48,6.6,67.2,85.7,On Track
Mechanical,5,Male,21,B.Sc,5.6,30,95,0.9,47,4.6,52.1,89.7,At Risk
Electronics,3,Female,25,MCA,7.2,29,71,2.0,76,8.2,71.9,62.1,On Track
Mechanical,5,Female,24,MCA,8.7,32,68,1.2,94,5.8,90.7,67.0,On Track
Computer Science,3,Female,22,BCA,8.5,23,83,3.5,52,8.8,70.8,74.3,On Track
Mechanical,2,Non-binary,22,BCA,6.6,27,96,4.7,79,3.7,91.6,88.6,On Track
Computer Science,3,Male,25,B.Tech,7.8,36,93,3.8,48,8.9,68.6,85.2,On Track
Civil,4,Non-binary,23,B.Sc,5.6,26,61,1.1,90,4.4,85.8,51.0,At Risk
Civil,8,Non-binary,19,MCA,8.4,43,95,1.0,63,6.4,72.7,84.1,On Track
Mechanical,1,Male,25,MBA,5.3,19,51,3.9,79,4.7,71.7,46.6,On Track
Information Technology,8,Non-binary,24,MCA,8.5,48,59,4.3,86,4.1,94.6,47.3,On Track
Electronics,5,Female,22,MBA,5.1,28,68,4.1,94,5.7,93.5,60.8,On Track
Information Technology,1,Male,19,MCA,9.6,16,96,2.3,48,8.3,76.9,80.6,On Track
Electronics,8,Male,23,B.Tech,6.9,40,73,1.7,66,7.9,77.9,59.8,On Track
Business Analytics,6,Male,21,B.Tech,6.2,34,62,5.2,82,4.5,79.4,49.9,On Track
Civil,4,Male,23,B.Tech,7.9,33,71,4.7,40,3.7,63.3,63.0,At Risk
Information Technology,5,Non-binary,23,B.Sc,7.6,30,85,3.0,38,8.1,67.9,75.4,On Track
Electronics,1,Female,20,B.Tech,5.4,21,50,2.3,69,6.8,64.5,49.7,At Risk
Computer Science,4,Non-binary,24,MBA,7.8,26,76,1.7,51,4.3,68.7,69.4,At Risk
Computer Science,1,Non-binary,18,MBA,7.4,28,79,5.4,95,7.3,96.6,70.0,On Track
Computer Science,1,Non-binary,19,B.Sc,7.6,15,95,4.3,41,4.5,68.1,80.2,At Risk
Mechanical,3,Non-binary,20,MBA,5.4,29,82,4.0,57,8.7,77.4,77.1,On Track
Business Analytics,7,Female,19,B.Sc,6.1,41,61,3.9,54,3.7,71.5,51.9,At Risk
